@relation autores

@attribute texto string
@attribute class-att {franciscoz, fabiolag, fernandob}


@data
"Empiezo esta columna con una sonora risotada. Sí, me parece, de todas las sinrazones del Presidente, la puntada del avión, la más profunda. Me hace recordar las mentiras increíbles que se vuelven creíbles de los regímenes fascistas. Los memes sublimes, el enfrentamiento entre estas dos nuevas tribus en que nos hemos dividido los mexicanos, pero esto es una nimiedad. La realidad acabó por imponerse y comerse al ciudadano. No había forma de rifar el avión, ni mucho menos dónde estacionarlo, así que ya dejémonos de idioteces y enfoquémonos en los problemas del país, los serios, los de verdad. El presupuesto del país es equivalente a seis billones de pesos, o sea, miles de millones de pesos, qué carajo estamos discutiendo por tres mil millones de algo que ni se ha gastado, que ni se ha pagado y que es un gasto programado, que ni siquiera se refleja en las finanzas actuales, porque ya estaba descontado. Total, lo importantes es que nunca se permitirá un abuso de este tipo en lujos, pero sí se permite vernos la cara de idiotas con los malabares para explicar lo inexplicable.", franciscoz
"Lejos de eso, sí quiero decirle al ciudadano Presidente muchas cosas. Estoy cierto y consciente de que, si más de 30 millones de mexicanos votaron por usted, esto genera una brutal esperanza. Votaron por usted porque querían un cambio real, porque estamos hasta la madre de las ratas que se beneficiaron de forma absurda y grosera del país. Si usted hoy dice que esto ya no es así, la percepción de la mayoría es distinta, siguen existiendo moches, cuotas y cuates y, si no lo cree, utilice el aparato del Estado para investigarlo y no para fustigar a sus enemigos. Para eso hay tiempo, le aseguro que su éxito será la derrota definitiva de sus enemigos políticos. Estoy cierto de que hay una pléyade de personajes que quieren verlo fracasar y que están operando al respecto, negar o ignorar que las cosas están saliendo mal, por la inexperiencia de algunos y la operación de otros que son enemigos de este país, es un acto estéril.", franciscoz
"No quiero voltear al 2019 y que, de nueva cuenta en el 2024, nos encontremos ante otro sexenio perdido. No quiero que le falle al pueblo de México, no quiero que lo recuerden como un estafador, que sólo encendió la esperanza, pero aniquiló el futuro. Si alguien de ese grupo original, ciudadano, que lo quiso, lo apoyó incondicionalmente, contra viento y marea, en los momentos malos, cuando su presidencia era totalmente impensable, está cerca, pregúntele, usted lo conoce y lo quiere, cuánto se ha desviado de su propósito original, cuánto se ha traicionado inventando una serie de tonterías para justificar cosas. Le digo algo, ciudadano: no tener éxito de inmediato no lo convierte en mentiroso, mentir al respecto de sus logros y tergiversarlos lo hace faccioso y usted no tiene la necesidad de hacerlo, porque a muchos nos consta la verdad y sinceridad de sus intenciones.", franciscoz
"Ciudadano, llegó el momento de convertirse en estadista. Y un estadista tiene la fundamental obligación de hablarle con la verdad a su pueblo, aunque ésta no le genere popularidad, aunque ésta sea cruda, pero finalmente su obligación es cohesionar a este pueblo dividido y a sus partidarios para que logremos sacar adelante a México con amor y compromiso, sin ser melindrosos en lo que tenemos que ofrecer. Carajo, lo mismo digo para sus adversarios, si se van a pasar otros cinco años con ataques tan estúpidos y poco inteligentes a este sexenio, será estéril y desesperante, porque ni proponen ni tienen una gran razón, más que obviedades desesperadas que tratan de disfrazar de liderazgo del cual, evidentemente, carecen.", franciscoz
"EN EL ESTRIBO", franciscoz
"Dicen en los pasillos de Palacio Nacional que Fabián Medina, el jefe de la oficina del canciller Marcelo Ebrard, está muy preocupado. Pues es habitual que filtra información a diestra y siniestra para perjudicar a sus enemigos y ahora está frente a la revelación de más de 300 horas de audios en donde, como es su costumbre, platica más de la cuenta y perjudica a su jefe con sus baladronadas. Sin duda, quien más estará pendiente de estas revelaciones será Martha Bárcena, embajadora de nuestro país ante Estados Unidos, a quien el mencionado Medina no ha dejado de perjudicar y faltarle al respeto una y otra vez.", franciscoz
"Si votó o no por López Obrador, en este momento debe reconocer que el Presidente es un genio de la comunicación. La puntada, por así decirlo, del avión presidencial y su respectiva rifa es una -€œpuntada-€ sin precedentes. Mientras el país está sumido en una crisis de salud, por el cambio del Seguro Popular al Instituto de Salud para el Bienestar, y los niveles de violencia no ceden ante la negativa del gobierno de modificar su estrategia en materia de seguridad, todo el mundo estamos inmersos en la broma de la rifa del TP01, que si le vamos a poner peluche en el tablero, que cuánto -€œcatrín lavandín-€ o -€œvainillino cotorro-€ necesitaremos para aromatizar la nave de naves, que dónde lo estacionamos, entre miles de ocurrencias más, el país no tiene buenas cifras en los principales indicadores.", franciscoz
"No hay nada mejor para un gobernante que una real explosión de realidad en la cara. Y eso fue lo que pasó con la frustrada venta del avión presidencial, aunque el ciudadano aprovechó, como siempre, la coyuntura del fracaso para armarse una gran historia, en su fuero interno sabe que su fracaso fue puntual y que hay cosas que, por más que le reporten ganancias en popularidad, sabe que son insostenibles.", franciscoz
"La diferencia para poder vender el Boeing 787 Dreamliner es muy poca, tan sólo cinco millones de dólares, que en el marco de lo gastado parece ser una nimiedad. Ya veremos en qué termina esta historia, que, si no fuera un asunto de pesos y centavos, sería una gran comedia.", franciscoz
"En el caso del Colegio Cervantes de Torreón, me preocupan con puntualidad varias cosas. La primera de ellas es la propensión que tenemos de querer culpar al de enfrente de un asunto que, evidentemente, es responsabilidad de todos. Todos los mexicanos tenemos una parte de la culpa. El pasaporte de normalidad que le hemos dado al homicidio es culpable de parte de la violencia que vivimos. La Fiscalía del estado se ha dedicado, con ahínco, a revelar los turbios antecedentes del abuelo del niño que perpetró la agresión en su escuela. Me queda claro que al señor se le pueden imputar delitos tan diversos como el de posesión de armas de uso exclusivo del Ejército, lavado de dinero e incluso delitos contra la salud. Pero me parece un absoluto acto de malabarismo jurídico que se haga responsable al abuelo de los dos homicidios a través de la figura de comisión por omisión.", franciscoz
