nuevos,autores
"Las personas dentro del espectro autista tienen alteraciones sensoriales, esto significa que el dolor, el frío, el calor, los aromas, los sabores, los abrazos, todo pueden percibirlo con intensidades distintas. Mi hijo no come cebolla ni nada picante –lo percibe como caliente– y cuando prueba un sabor distinto lo hace en una cantidad minúscula.",Fabiola Guarneros Saavedra
"Las familias pobres superan la pobreza. Los apoyos de Bienestar que reciben sus adultos mayores y sus madres solteras se compensan con las becas de los estudiantes, de los Jóvenes Construyendo el Futuro y con las transferencias directas que reciben sus madres trabajadoras cuando se cierran estancias infantiles y escuelas de tiempo completo.",Fabiola Guarneros Saavedra
"Las niñas y las chicas salen sin temor por las calles, ya no tienen que marchar ni vandalizar Palacio Nacional, porque se sienten seguras, protegidas. Sus hermanas, amigas, primas, hijas y madres ya no son violentadas, violadas, asesinadas y dejaron de desaparecer. No importa ya que se hayan recortado los recursos para los refugios de mujeres violentadas.",Fabiola Guarneros Saavedra
"Los habitantes de Aguililla, Michoacán; de Tierra Caliente, Guerrero; los pobladores de Sarabia y otras 18 comunidades de Jerez, Zacatecas; o los de Fuerte de Loreto en Iztapalapa, CDMX, ya no tienen que abandonar sus viviendas porque el crimen organizado no los acecha ni los amenaza o extorsiona, mucho menos corrompe, contrata o envenena con drogas a sus hijos.",Fabiola Guarneros Saavedra
"A la convocatoria del 8M fuimos todas, a pesar de los intentos del secretario de Gobierno de la Ciudad de México, Martí Batres, de inhibir nuestra presencia con declaraciones como ésta: “se espera una marcha muy violenta, se tiene información de que hay al menos 15 grupos organizados para generar violencia durante la movilización”.",Fabiola Guarneros Saavedra
"Intentaron sembrar el miedo acusando a grupos —que no identificaron— de llevar  “todo tipo de artefactos peligrosos, hay grupos que están dando instrumentos que pueden dañar a otras personas: cizallas, alicatas, sopletes, picos, piolets, bazucas de fabricación casera”. Incluso confundieron los dispositivos de humo de colores con cohetones.",Fabiola Guarneros Saavedra
"En febrero de 2019, el programa de Estancias Infantiles fue eliminado por el gobierno federal. El primer paso fue quitarle 50% del presupuesto asignado y luego sustituirlo por el Programa de Apoyo para el Bienestar que —de acuerdo con la recomendación 29/2019 de la CNDH— dejó fuera a 6 mil 620 niños que eran beneficiarios, pues los centros a los que acudían no fueron censados.",Fabiola Guarneros Saavedra
"En la investigación que hizo la CNDH se reportó que las autoridades federales omitieron la fundamentación y motivación para cambiar la modalidad de entrega del subsidio a las estancias, por la transferencia económica directa a los padres, sin considerar mecanismos de supervisión para garantizar que el dinero se destine exclusivamente a servicios de cuidado y atención infantil.",Fabiola Guarneros Saavedra
"REDIM ha documentado que la escuela es un espacio de protección y seguridad para las niñas, niños y adolescentes, ante las diversas formas de violencia: reclutamiento por parte de grupos delictivos, venta de niñas, trata, desapariciones, trabajo infantil y cualquier cantidad de abusos y violaciones a los que están expuestos.",Fabiola Guarneros Saavedra
El gobierno de la 4T no justificó la desaparición del programa de Escuelas de Tiempo Completo ni mostró evidencia de algún mal funcionamiento. Sólo se dijo que los recursos públicos se utilizarán para la rehabilitación de escuelas. La transparencia en el uso de los recursos públicos se torna indispensable ante la tentación de comprar votos con “transferencias del bienestar”.,Fabiola Guarneros Saavedra
"“De enero a junio de 2021, se registraron 362 agresiones contra periodistas y medios de comunicación en México. Eso equivale a que un periodista sea agredido cada 12 horas. En el 2020, 13 periodistas fueron asesinados en nuestro país. Y en todo el mundo, esto es aún peor para las mujeres: el 73% de las periodistas han experimentado violencia en línea.",Fabiola Guarneros Saavedra
"“La corrupción tiende a ser generalizada y el Estado de derecho es débil. La sociedad civil es débil. Por lo general, hay acoso y presión sobre los periodistas, y el Poder Judicial no es independiente”, refiere el estudio sobre el Índice de la Democracia que publica cada año The Economist y en el que México retrocedió.",Fabiola Guarneros Saavedra
"La corrupción es una de las heridas que sangra y desgasta a México y combatirla ha sido la prioridad de diversos gobiernos, al menos en el discurso. Unos prometen cárcel; otros, atrapar peces gordos, también se saca un pañuelo blanco para decir que no habrá venganzas políticas, que se acabará el influyentismo y los moches, que se barrerá de arriba hacia abajo…",Fabiola Guarneros Saavedra
"En el informe de Transparencia Internacional se señala que hay una creciente preocupación por el uso político-electoral en las fiscalías mexicanas “que, pese a gozar en muchos casos de autonomía formal, no son vistas como órganos independientes al gobierno. Su actuación presenta sesgos favorables o negativos, dependiendo del grupo político al que se investiga”.",Fabiola Guarneros Saavedra
"El Inegi, en su informe 2020, advirtió que el nivel de impunidad en los funcionarios federales es muy alto en el actual gobierno, pues sólo el 4.5 por ciento de las denuncias presentadas fue procedente, el 54.5 está pendiente de atención, el 36.9 por ciento se declaró como no procedente y, otro 4 por ciento fue derivada a otra autoridad.",Fabiola Guarneros Saavedra
"Por segundo año consecutivo, México disminuyó en su eficacia para combatir la corrupción, bajó tres posiciones al lugar 11 entre 15 economías de América Latina, de acuerdo con Índice de Capacidad para Combatir la Corrupción (CCC), desarrollado por The Americas Society/Council of the Americas (AS/COA) y Control Risks (reporte 2021).",Fabiola Guarneros Saavedra
"Si la revocación de mandato es importantísima, trascendental para la democracia participativa, ¿por qué negaron al INE los recursos necesarios para realizar la consulta?, ¿por qué se descalifica al órgano electoral que tiene la obligación de cumplir con la ley?, ¿por qué se acecha a los consejeros con una investigación judicial?",Fabiola Guarneros Saavedra
"Los diputados de Morena y sus aliados son los únicos responsables de este entuerto. Negaron los recursos al INE con intenciones perversas: obstaculizar el proceso, poner a los consejeros electorales contra la pared y continuar con el descrédito del órgano autónomo para “exterminarlo” (así lo dijo el propio Mario Delgado).",Fabiola Guarneros Saavedra
